#  GR700XD order 1 plus CLEAR
#Wavelength      OTE             POM             TMA          Pupil Wheel     Filter Wheel      CTMA          Detector         Final
   0.50000   3.1000001e-03   2.4409969e-03   1.1917464e-03   5.5308948e-07   5.5308948e-07   2.7003000e-07   1.8410645e-07   1.8410645e-07
   0.50100   3.5000001e-03   2.7576080e-03   1.3487331e-03   6.7065753e-07   6.7065753e-07   3.2801543e-07   2.2406734e-07   2.2406734e-07
   0.50200   4.0000002e-03   3.1534859e-03   1.5451959e-03   8.1957188e-07   8.1957188e-07   4.0158704e-07   2.7488633e-07   2.7488633e-07
   0.50300   4.4999998e-03   3.5500496e-03   1.7430112e-03   9.9382999e-07   9.9382999e-07   4.8795283e-07   3.3463806e-07   3.3463806e-07
   0.50400   4.9999999e-03   3.9472110e-03   1.9420098e-03   1.1845483e-06   1.1845483e-06   5.8279232e-07   4.0043659e-07   4.0043659e-07
   0.50500   5.7000001e-03   4.5028254e-03   2.2198104e-03   1.4570169e-06   1.4570169e-06   7.1828259e-07   4.9453757e-07   4.9453757e-07
   0.50600   6.3999998e-03   5.0591752e-03   2.4990735e-03   1.7728678e-06   1.7728678e-06   8.7574097e-07   6.0408615e-07   6.0408615e-07
   0.50700   7.1999999e-03   5.6953589e-03   2.8189467e-03   2.1493058e-06   2.1493058e-06   1.0638098e-06   7.3519897e-07   7.3519897e-07
   0.50800   8.1000002e-03   6.4116530e-03   3.1799844e-03   2.5932457e-06   2.5932457e-06   1.2861708e-06   8.9067328e-07   8.9067328e-07
   0.50900   9.2000002e-03   7.2876173e-03   3.6222530e-03   3.1700508e-06   3.1700508e-06   1.5756489e-06   1.0931851e-06   1.0931851e-06
   0.51000   1.0300000e-02   8.1649767e-03   4.0673185e-03   3.8022513e-06   3.8022513e-06   1.8940614e-06   1.3165620e-06   1.3165620e-06
   0.51100   1.1700000e-02   9.2810709e-03   4.6327077e-03   4.6072278e-06   4.6072278e-06   2.2997281e-06   1.6017606e-06   1.6017606e-06
   0.51200   1.3200000e-02   1.0478452e-02   5.2416343e-03   5.5603255e-06   5.5603255e-06   2.7814408e-06   1.9408894e-06   1.9408894e-06
   0.51300   1.4900000e-02   1.1837284e-02   5.9353933e-03   6.7684846e-06   6.7684846e-06   3.3938206e-06   2.3726200e-06   2.3726200e-06
   0.51400   1.6799999e-02   1.3356499e-02   6.7118583e-03   8.2324295e-06   8.2324295e-06   4.1369299e-06   2.8975057e-06   2.8975057e-06
   0.51500   1.8900000e-02   1.5037030e-02   7.5729107e-03   9.8910550e-06   9.8910550e-06   4.9813079e-06   3.4958819e-06   3.4958819e-06
   0.51600   2.1299999e-02   1.6959792e-02   8.5613690e-03   1.1919993e-05   1.1919993e-05   6.0172588e-06   4.2307347e-06   4.2307347e-06
   0.51700   2.3900000e-02   1.9044893e-02   9.6365223e-03   1.4375281e-05   1.4375281e-05   7.2737466e-06   5.1236270e-06   5.1236270e-06
   0.51800   2.6900001e-02   2.1452220e-02   1.0880082e-02   1.7312386e-05   1.7312386e-05   8.7804510e-06   6.1972423e-06   6.1972423e-06
   0.51900   3.0300001e-02   2.4182489e-02   1.2293518e-02   2.0865542e-05   2.0865542e-05   1.0607299e-05   7.5004209e-06   7.5004209e-06
   0.52000   3.4000002e-02   2.7157066e-02   1.3838680e-02   2.4864370e-05   2.4864370e-05   1.2670370e-05   8.9756904e-06   8.9756904e-06
   0.52100   3.7999999e-02   3.0375583e-02   1.5514856e-02   2.9624687e-05   2.9624687e-05   1.5131322e-05   1.0738700e-05   1.0738700e-05
   0.52200   4.1999999e-02   3.3600889e-02   1.7205020e-02   3.4791130e-05   3.4791130e-05   1.7814471e-05   1.2667870e-05   1.2667870e-05
   0.52300   4.5600001e-02   3.6511820e-02   1.8743010e-02   4.0013703e-05   4.0013703e-05   2.0540670e-05   1.4633174e-05   1.4633174e-05
   0.52400   4.8900001e-02   3.9184324e-02   2.0161504e-02   4.5314388e-05   4.5314388e-05   2.3315604e-05   1.6640346e-05   1.6640346e-05
   0.52500   5.2000001e-02   4.1703500e-02   2.1511963e-02   5.0916879e-05   5.0916879e-05   2.6264510e-05   1.8779125e-05   1.8779125e-05
   0.52600   5.4800000e-02   4.3986052e-02   2.2746693e-02   5.6553963e-05   5.6553963e-05   2.9245992e-05   2.0951829e-05   2.0951829e-05
   0.52700   5.7399999e-02   4.6113316e-02   2.3909464e-02   6.2139741e-05   6.2139741e-05   3.2219064e-05   2.3123623e-05   2.3123623e-05
   0.52800   5.9999999e-02   4.8242405e-02   2.5076216e-02   6.7998422e-05   6.7998422e-05   3.5345318e-05   2.5413283e-05   2.5413283e-05
   0.52900   6.2500000e-02   5.0294466e-02   2.6208412e-02   7.4196272e-05   7.4196272e-05   3.8663627e-05   2.7849412e-05   2.7849412e-05
   0.53000   6.5200001e-02   5.2513748e-02   2.7437797e-02   8.0951097e-05   8.0951097e-05   4.2295967e-05   3.0525000e-05   3.0525000e-05
   0.53100   6.8400003e-02   5.5139873e-02   2.8886486e-02   8.9055589e-05   8.9055589e-05   4.6654135e-05   3.3730939e-05   3.3730939e-05
   0.53200   7.1900003e-02   5.8012571e-02   3.0472055e-02   9.7782380e-05   9.7782380e-05   5.1361800e-05   3.7201353e-05   3.7201353e-05
   0.53300   7.5599998e-02   6.1051637e-02   3.2153178e-02   1.0722732e-04   1.0722732e-04   5.6471850e-05   4.0975974e-05   4.0975974e-05
   0.53400   7.9400003e-02   6.4176746e-02   3.3888247e-02   1.1728249e-04   1.1728249e-04   6.1930499e-05   4.5023473e-05   4.5023473e-05
   0.53500   8.3400004e-02   6.7468934e-02   3.5720475e-02   1.2859692e-04   1.2859692e-04   6.8083820e-05   4.9585444e-05   4.9585444e-05
   0.53600   8.7399997e-02   7.0770502e-02   3.7572913e-02   1.4049714e-04   1.4049714e-04   7.4591626e-05   5.4422053e-05   5.4422053e-05
   0.53700   9.1600001e-02   7.4236110e-02   3.9516129e-02   1.5300329e-04   1.5300329e-04   8.1444159e-05   5.9527534e-05   5.9527534e-05
   0.53800   9.5899999e-02   7.7794135e-02   4.1527092e-02   1.6629607e-04   1.6629607e-04   8.8770095e-05   6.4997468e-05   6.4997468e-05
   0.53900   1.0030000e-01   8.1438385e-02   4.3592703e-02   1.8063726e-04   1.8063726e-04   9.6692318e-05   7.0933485e-05   7.0933485e-05
   0.54000   1.0480000e-01   8.5170366e-02   4.5716200e-02   1.9610467e-04   1.9610467e-04   1.0526150e-04   7.7356672e-05   7.7356672e-05
   0.54100   1.0940000e-01   8.8991843e-02   4.7901470e-02   2.1214793e-04   2.1214793e-04   1.1419247e-04   8.4068488e-05   8.4068488e-05
   0.54200   1.1410000e-01   9.2899963e-02   5.0142411e-02   2.2938648e-04   2.2938648e-04   1.2381050e-04   9.1322632e-05   9.1322632e-05
   0.54300   1.1890000e-01   9.6903220e-02   5.2457456e-02   2.4728078e-04   2.4728078e-04   1.3386263e-04   9.8911099e-05   9.8911099e-05
   0.54400   1.2370000e-01   1.0090691e-01   5.4774016e-02   2.6619021e-04   2.6619021e-04   1.4449265e-04   1.0695346e-04   1.0695346e-04
   0.54500   1.2860000e-01   1.0500661e-01   5.7166774e-02   2.8615686e-04   2.8615686e-04   1.5578700e-04   1.1551606e-04   1.1551606e-04
   0.54600   1.3349999e-01   1.0910819e-01   5.9564244e-02   3.0724070e-04   3.0724070e-04   1.6772858e-04   1.2460556e-04   1.2460556e-04
   0.54700   1.3850001e-01   1.1330274e-01   6.2031519e-02   3.2942643e-04   3.2942643e-04   1.8035593e-04   1.3422089e-04   1.3422089e-04
   0.54800   1.4320000e-01   1.1726125e-01   6.4385653e-02   3.5174654e-04   3.5174654e-04   1.9313651e-04   1.4398327e-04   1.4398327e-04
   0.54900   1.4790000e-01   1.2122710e-01   6.6756621e-02   3.7399391e-04   3.7399391e-04   2.0594876e-04   1.5380254e-04   1.5380254e-04
   0.55000   1.5260001e-01   1.2520012e-01   6.9144145e-02   3.9745506e-04   3.9745506e-04   2.1950211e-04   1.6423147e-04   1.6423147e-04
   0.55100   1.5730000e-01   1.2918705e-01   7.1563184e-02   4.2227286e-04   4.2227286e-04   2.3391811e-04   1.7532162e-04   1.7532162e-04
   0.55200   1.6230001e-01   1.3342136e-01   7.4121788e-02   4.4867324e-04   4.4867324e-04   2.4925891e-04   1.8714360e-04   1.8714360e-04
   0.55300   1.6750000e-01   1.3782792e-01   7.6789938e-02   4.7602464e-04   4.7602464e-04   2.6521407e-04   1.9949402e-04   1.9949402e-04
   0.55400   1.7309999e-01   1.4257909e-01   7.9676859e-02   5.0607073e-04   5.0607073e-04   2.8280533e-04   2.1309381e-04   2.1309381e-04
   0.55500   1.7910001e-01   1.4766911e-01   8.2769789e-02   5.3723966e-04   5.3723966e-04   3.0112738e-04   2.2729095e-04   2.2729095e-04
   0.55600   1.8610001e-01   1.5359412e-01   8.6349383e-02   5.7249638e-04   5.7249638e-04   3.2185286e-04   2.4338513e-04   2.4338513e-04
   0.55700   1.9380000e-01   1.6010864e-01   9.0281293e-02   6.1173335e-04   6.1173335e-04   3.4494128e-04   2.6129303e-04   2.6129303e-04
   0.55800   2.0190001e-01   1.6696645e-01   9.4429553e-02   6.5298885e-04   6.5298885e-04   3.6930441e-04   2.8022821e-04   2.8022821e-04
   0.55900   2.1020000e-01   1.7400277e-01   9.8702118e-02   6.9562194e-04   6.9562194e-04   3.9458775e-04   2.9996561e-04   2.9996561e-04
   0.56000   2.1850000e-01   1.8105242e-01   1.0300610e-01   7.3961366e-04   7.3961366e-04   4.2078822e-04   3.2043023e-04   3.2043023e-04
   0.56100   2.2660001e-01   1.8795881e-01   1.0726820e-01   7.8444049e-04   7.8444049e-04   4.4768065e-04   3.4153557e-04   3.4153557e-04
   0.56200   2.3379999e-01   1.9412518e-01   1.1112044e-01   8.2734611e-04   8.2734611e-04   4.7358649e-04   3.6191478e-04   3.6191478e-04
   0.56300   2.4030000e-01   1.9972780e-01   1.1468136e-01   8.6906564e-04   8.6906564e-04   4.9900729e-04   3.8199007e-04   3.8199007e-04
   0.56400   2.4620000e-01   2.0483182e-01   1.1795752e-01   9.0875186e-04   9.0875186e-04   5.2332744e-04   4.0133981e-04   4.0133981e-04
   0.56500   2.5170001e-01   2.0962603e-01   1.2109638e-01   9.4738544e-04   9.4738544e-04   5.4728385e-04   4.2042346e-04   4.2042346e-04
   0.56600   2.5680000e-01   2.1409215e-01   1.2405606e-01   9.8452251e-04   9.8452251e-04   5.7048321e-04   4.3898684e-04   4.3898684e-04
   0.56700   2.6159999e-01   2.1831988e-01   1.2689953e-01   1.0205500e-03   1.0205500e-03   5.9319980e-04   4.5729772e-04   4.5729772e-04
   0.56800   2.6629999e-01   2.2246829e-01   1.2970565e-01   1.0568766e-03   1.0568766e-03   6.1619061e-04   4.7582237e-04   4.7582237e-04
   0.56900   2.7090001e-01   2.2654054e-01   1.3248195e-01   1.0926740e-03   1.0926740e-03   6.3900079e-04   4.9433101e-04   4.9433101e-04
   0.57000   2.7559999e-01   2.3070779e-01   1.3533542e-01   1.1296677e-03   1.1296677e-03   6.6267402e-04   5.1350612e-04   5.1350612e-04
   0.57100   2.8040001e-01   2.3497392e-01   1.3827528e-01   1.1679587e-03   1.1679587e-03   6.8730954e-04   5.3348969e-04   5.3348969e-04
   0.57200   2.8580001e-01   2.3974392e-01   1.4151540e-01   1.2075241e-03   1.2075241e-03   7.1277417e-04   5.5425317e-04   5.5425317e-04
   0.57300   2.9210001e-01   2.4529025e-01   1.4525345e-01   1.2509765e-03   1.2509765e-03   7.4079033e-04   5.7700160e-04   5.7700160e-04
   0.57400   2.9850000e-01   2.5091511e-01   1.4903019e-01   1.2943719e-03   1.2943719e-03   7.6878793e-04   5.9980835e-04   5.9980835e-04
   0.57500   3.0509999e-01   2.5673530e-01   1.5297332e-01   1.3397754e-03   1.3397754e-03   7.9829263e-04   6.2386569e-04   6.2386569e-04
   0.57600   3.1169999e-01   2.6256225e-01   1.5693459e-01   1.3848740e-03   1.3848740e-03   8.2774519e-04   6.4804166e-04   6.4804166e-04
   0.57700   3.1830001e-01   2.6839209e-01   1.6090477e-01   1.4284432e-03   1.4284432e-03   8.5637148e-04   6.7156652e-04   6.7156652e-04
   0.57800   3.2490000e-01   2.7424559e-01   1.6493374e-01   1.4729588e-03   1.4729588e-03   8.8585058e-04   6.9583562e-04   6.9583562e-04
   0.57900   3.3140001e-01   2.8002110e-01   1.6892950e-01   1.5164834e-03   1.5164834e-03   9.1485522e-04   7.1980810e-04   7.1980810e-04
   0.58000   3.3770001e-01   2.8564304e-01   1.7286269e-01   1.5598144e-03   1.5598144e-03   9.4395340e-04   7.4392970e-04   7.4392970e-04
