#  GR700XD order 2 plus CLEAR
#Wavelength      OTE             POM             TMA          Pupil Wheel     Filter Wheel      CTMA          Detector         Final
   0.50000   3.1000001e-03   2.4409969e-03   1.1917464e-03   6.3842335e-06   6.3842335e-06   3.1169182e-06   2.1251149e-06   2.1251149e-06
   0.50100   3.5000001e-03   2.7576080e-03   1.3487331e-03   7.7885688e-06   7.7885688e-06   3.8093524e-06   2.6021685e-06   2.6021685e-06
   0.50200   4.0000002e-03   3.1534859e-03   1.5451959e-03   9.5992364e-06   9.5992364e-06   4.7035887e-06   3.2196065e-06   3.2196065e-06
   0.50300   4.4999998e-03   3.5500496e-03   1.7430112e-03   1.1637057e-05   1.1637057e-05   5.7135876e-06   3.9183783e-06   3.9183783e-06
   0.50400   4.9999999e-03   3.9472110e-03   1.9420098e-03   1.3995696e-05   1.3995696e-05   6.8858180e-06   4.7312456e-06   4.7312456e-06
   0.50500   5.7000001e-03   4.5028254e-03   2.2198104e-03   1.7322311e-05   1.7322311e-05   8.5395814e-06   5.8795017e-06   5.8795017e-06
   0.50600   6.3999998e-03   5.0591752e-03   2.4990735e-03   2.1125294e-05   2.1125294e-05   1.0435231e-05   7.1982226e-06   7.1982226e-06
   0.50700   7.1999999e-03   5.6953589e-03   2.8189467e-03   2.5623463e-05   2.5623463e-05   1.2682463e-05   8.7648496e-06   8.7648496e-06
   0.50800   8.1000002e-03   6.4116530e-03   3.1799844e-03   3.1034611e-05   3.1034611e-05   1.5392221e-05   1.0659113e-05   1.0659113e-05
   0.50900   9.2000002e-03   7.2876173e-03   3.6222530e-03   3.7944545e-05   3.7944545e-05   1.8860039e-05   1.3085094e-05   1.3085094e-05
   0.51000   1.0300000e-02   8.1649767e-03   4.0673185e-03   4.5707915e-05   4.5707915e-05   2.2769036e-05   1.5826758e-05   1.5826758e-05
   0.51100   1.1700000e-02   9.2810709e-03   4.6327077e-03   5.5686029e-05   5.5686029e-05   2.7796046e-05   1.9359946e-05   1.9359946e-05
   0.51200   1.3200000e-02   1.0478452e-02   5.2416343e-03   6.7557958e-05   6.7557958e-05   3.3794506e-05   2.3581806e-05   2.3581806e-05
   0.51300   1.4900000e-02   1.1837284e-02   5.9353933e-03   8.2441722e-05   8.2441722e-05   4.1337527e-05   2.8899067e-05   2.8899067e-05
   0.51400   1.6799999e-02   1.3356499e-02   6.7118583e-03   1.0043564e-04   1.0043564e-04   5.0470542e-05   3.5349567e-05   3.5349567e-05
   0.51500   1.8900000e-02   1.5037030e-02   7.5729107e-03   1.2120307e-04   1.2120307e-04   6.1039980e-05   4.2837859e-05   4.2837859e-05
   0.51600   2.1299999e-02   1.6959792e-02   8.5613690e-03   1.4661593e-04   1.4661593e-04   7.4012292e-05   5.2038045e-05   5.2038045e-05
   0.51700   2.3900000e-02   1.9044893e-02   9.6365223e-03   1.7729514e-04   1.7729514e-04   8.9709538e-05   6.3191401e-05   6.3191401e-05
   0.51800   2.6900001e-02   2.1452220e-02   1.0880082e-02   2.1481785e-04   2.1481785e-04   1.0895076e-04   7.6897442e-05   7.6897442e-05
   0.51900   3.0300001e-02   2.4182489e-02   1.2293518e-02   2.5927066e-04   2.5927066e-04   1.3180399e-04   9.3198592e-05   9.3198592e-05
   0.52000   3.4000002e-02   2.7157066e-02   1.3838680e-02   3.1103400e-04   3.1103400e-04   1.5849651e-04   1.1227893e-04   1.1227893e-04
   0.52100   3.7999999e-02   3.0375583e-02   1.5514856e-02   3.7133720e-04   3.7133720e-04   1.8966691e-04   1.3460661e-04   1.3460661e-04
   0.52200   4.1999999e-02   3.3600889e-02   1.7205020e-02   4.3768383e-04   4.3768383e-04   2.2411189e-04   1.5936597e-04   1.5936597e-04
   0.52300   4.5600001e-02   3.6511820e-02   1.8743010e-02   5.0539046e-04   5.0539046e-04   2.5943760e-04   1.8482335e-04   1.8482335e-04
   0.52400   4.8900001e-02   3.9184324e-02   2.0161504e-02   5.7505164e-04   5.7505164e-04   2.9588121e-04   2.1117042e-04   2.1117042e-04
   0.52500   5.2000001e-02   4.1703500e-02   2.1511963e-02   6.4779958e-04   6.4779958e-04   3.3415516e-04   2.3892094e-04   2.3892094e-04
   0.52600   5.4800000e-02   4.3986052e-02   2.2746693e-02   7.2147779e-04   7.2147779e-04   3.7310086e-04   2.6728946e-04   2.6728946e-04
   0.52700   5.7399999e-02   4.6113316e-02   2.3909464e-02   7.9608615e-04   7.9608615e-04   4.1276566e-04   2.9624192e-04   2.9624192e-04
   0.52800   5.9999999e-02   4.8242405e-02   2.5076216e-02   8.7516796e-04   8.7516796e-04   4.5490891e-04   3.2707950e-04   3.2707950e-04
   0.52900   6.2500000e-02   5.0294466e-02   2.6208412e-02   9.5881743e-04   9.5881743e-04   4.9963914e-04   3.5989008e-04   3.5989008e-04
   0.53000   6.5200001e-02   5.2513748e-02   2.7437797e-02   1.0518186e-03   1.0518186e-03   5.4956245e-04   3.9661923e-04   3.9661923e-04
   0.53100   6.8400003e-02   5.5139873e-02   2.8886486e-02   1.1604039e-03   1.1604039e-03   6.0790841e-04   4.3951778e-04   4.3951778e-04
   0.53200   7.1900003e-02   5.8012571e-02   3.0472055e-02   1.2810704e-03   1.2810704e-03   6.7290326e-04   4.8738386e-04   4.8738386e-04
   0.53300   7.5599998e-02   6.1051637e-02   3.2153178e-02   1.4101565e-03   1.4101565e-03   7.4266660e-04   5.3887890e-04   5.3887890e-04
   0.53400   7.9400003e-02   6.4176746e-02   3.3888247e-02   1.5496117e-03   1.5496117e-03   8.1826560e-04   5.9487909e-04   5.9487909e-04
   0.53500   8.3400004e-02   6.7468934e-02   3.5720475e-02   1.7056261e-03   1.7056261e-03   9.0301968e-04   6.5766921e-04   6.5766921e-04
   0.53600   8.7399997e-02   7.0770502e-02   3.7572913e-02   1.8725480e-03   1.8725480e-03   9.9415833e-04   7.2533794e-04   7.2533794e-04
   0.53700   9.1600001e-02   7.4236110e-02   3.9516129e-02   2.0495630e-03   2.0495630e-03   1.0909892e-03   7.9740403e-04   7.9740403e-04
   0.53800   9.5899999e-02   7.7794135e-02   4.1527092e-02   2.2397656e-03   2.2397656e-03   1.1956037e-03   8.7542110e-04   8.7542110e-04
   0.53900   1.0030000e-01   8.1438385e-02   4.3592703e-02   2.4453951e-03   2.4453951e-03   1.3089820e-03   9.6026924e-04   9.6026924e-04
   0.54000   1.0480000e-01   8.5170366e-02   4.5716200e-02   2.6663567e-03   2.6663567e-03   1.4311984e-03   1.0517878e-03   1.0517878e-03
   0.54100   1.0940000e-01   8.8991843e-02   4.7901470e-02   2.9017900e-03   2.9017900e-03   1.5619410e-03   1.1499010e-03   1.1499010e-03
   0.54200   1.1410000e-01   9.2899963e-02   5.0142411e-02   3.1522356e-03   3.1522356e-03   1.7014075e-03   1.2549582e-03   1.2549582e-03
   0.54300   1.1890000e-01   9.6903220e-02   5.2457456e-02   3.4191522e-03   3.4191522e-03   1.8509191e-03   1.3676442e-03   1.3676442e-03
   0.54400   1.2370000e-01   1.0090691e-01   5.4774016e-02   3.7005160e-03   3.7005160e-03   2.0087040e-03   1.4868426e-03   1.4868426e-03
   0.54500   1.2860000e-01   1.0500661e-01   5.7166774e-02   4.0035429e-03   4.0035429e-03   2.1795735e-03   1.6161539e-03   1.6161539e-03
   0.54600   1.3349999e-01   1.0910819e-01   5.9564244e-02   4.3223002e-03   4.3223002e-03   2.3596263e-03   1.7529664e-03   1.7529664e-03
   0.54700   1.3850001e-01   1.1330274e-01   6.2031519e-02   4.6609109e-03   4.6609109e-03   2.5517773e-03   1.8990326e-03   1.8990326e-03
   0.54800   1.4320000e-01   1.1726125e-01   6.4385653e-02   5.0047045e-03   5.0047045e-03   2.7479762e-03   2.0486163e-03   2.0486163e-03
   0.54900   1.4790000e-01   1.2122710e-01   6.6756621e-02   5.3598420e-03   5.3598420e-03   2.9515261e-03   2.2041998e-03   2.2041998e-03
   0.55000   1.5260001e-01   1.2520012e-01   6.9144145e-02   5.7312376e-03   5.7312376e-03   3.1651848e-03   2.3681913e-03   2.3681913e-03
   0.55100   1.5730000e-01   1.2918705e-01   7.1563184e-02   6.1253291e-03   6.1253291e-03   3.3931269e-03   2.5431486e-03   2.5431486e-03
   0.55200   1.6230001e-01   1.3342136e-01   7.4121788e-02   6.5502361e-03   6.5502361e-03   3.6389616e-03   2.7321323e-03   2.7321323e-03
   0.55300   1.6750000e-01   1.3782792e-01   7.6789938e-02   7.0023993e-03   7.0023993e-03   3.9013417e-03   2.9345893e-03   2.9345893e-03
   0.55400   1.7309999e-01   1.4257909e-01   7.9676859e-02   7.4917483e-03   7.4917483e-03   4.1865814e-03   3.1545891e-03   3.1545891e-03
   0.55500   1.7910001e-01   1.4766911e-01   8.2769789e-02   8.0152424e-03   8.0152424e-03   4.4926116e-03   3.3910233e-03   3.3910233e-03
   0.55600   1.8610001e-01   1.5359412e-01   8.6349383e-02   8.6063389e-03   8.6063389e-03   4.8384145e-03   3.6588090e-03   3.6588090e-03
   0.55700   1.9380000e-01   1.6010864e-01   9.0281293e-02   9.2597995e-03   9.2597995e-03   5.2213711e-03   3.9551887e-03   3.9551887e-03
   0.55800   2.0190001e-01   1.6696645e-01   9.4429553e-02   9.9594882e-03   9.9594882e-03   5.6326888e-03   4.2740842e-03   4.2740842e-03
   0.55900   2.1020000e-01   1.7400277e-01   9.8702118e-02   1.0694124e-02   1.0694124e-02   6.0661831e-03   4.6115126e-03   4.6115126e-03
   0.56000   2.1850000e-01   1.8105242e-01   1.0300610e-01   1.1460255e-02   1.1460255e-02   6.5200799e-03   4.9650408e-03   4.9650408e-03
   0.56100   2.2660001e-01   1.8795881e-01   1.0726820e-01   1.2261595e-02   1.2261595e-02   6.9976994e-03   5.3385450e-03   5.3385450e-03
   0.56200   2.3379999e-01   1.9412518e-01   1.1112044e-01   1.3045252e-02   1.3045252e-02   7.4673165e-03   5.7065231e-03   5.7065231e-03
   0.56300   2.4030000e-01   1.9972780e-01   1.1468136e-01   1.3815330e-02   1.3815330e-02   7.9326006e-03   6.0724057e-03   6.0724057e-03
   0.56400   2.4620000e-01   2.0483182e-01   1.1795752e-01   1.4569747e-02   1.4569747e-02   8.3903531e-03   6.4345617e-03   6.4345617e-03
   0.56500   2.5170001e-01   2.0962603e-01   1.2109638e-01   1.5326768e-02   1.5326768e-02   8.8539394e-03   6.8015959e-03   6.8015959e-03
   0.56600   2.5680000e-01   2.1409215e-01   1.2405606e-01   1.6078066e-02   1.6078066e-02   9.3164621e-03   7.1690176e-03   7.1690176e-03
   0.56700   2.6159999e-01   2.1831988e-01   1.2689953e-01   1.6829401e-02   1.6829401e-02   9.7821737e-03   7.5410777e-03   7.5410777e-03
   0.56800   2.6629999e-01   2.2246829e-01   1.2970565e-01   1.7593686e-02   1.7593686e-02   1.0257645e-02   7.9209534e-03   7.9209534e-03
   0.56900   2.7090001e-01   2.2654054e-01   1.3248195e-01   1.8381342e-02   1.8381342e-02   1.0749494e-02   8.3158081e-03   8.3158081e-03
   0.57000   2.7559999e-01   2.3070779e-01   1.3533542e-01   1.9198069e-02   1.9198069e-02   1.1261773e-02   8.7267486e-03   8.7267486e-03
   0.57100   2.8040001e-01   2.3497392e-01   1.3827528e-01   2.0042319e-02   2.0042319e-02   1.1794318e-02   9.1547500e-03   9.1547500e-03
   0.57200   2.8580001e-01   2.3974392e-01   1.4151540e-01   2.0945430e-02   2.0945430e-02   1.2363614e-02   9.6139461e-03   9.6139461e-03
   0.57300   2.9210001e-01   2.4529025e-01   1.4525345e-01   2.1943610e-02   2.1943610e-02   1.2994342e-02   1.0121293e-02   1.0121293e-02
   0.57400   2.9850000e-01   2.5091511e-01   1.4903019e-01   2.2966703e-02   2.2966703e-02   1.3640998e-02   1.0642706e-02   1.0642706e-02
   0.57500   3.0509999e-01   2.5673530e-01   1.5297332e-01   2.4038881e-02   2.4038881e-02   1.4323342e-02   1.1193691e-02   1.1193691e-02
   0.57600   3.1169999e-01   2.6256225e-01   1.5693459e-01   2.5132706e-02   2.5132706e-02   1.5021928e-02   1.1760667e-02   1.1760667e-02
   0.57700   3.1830001e-01   2.6839209e-01   1.6090477e-01   2.6247513e-02   2.6247513e-02   1.5735747e-02   1.2339973e-02   1.2339973e-02
   0.57800   3.2490000e-01   2.7424559e-01   1.6493374e-01   2.7395725e-02   2.7395725e-02   1.6476033e-02   1.2941924e-02   1.2941924e-02
   0.57900   3.3140001e-01   2.8002110e-01   1.6892950e-01   2.8574625e-02   2.8574625e-02   1.7238334e-02   1.3563122e-02   1.3563122e-02
   0.58000   3.3770001e-01   2.8564304e-01   1.7286269e-01   2.9768271e-02   2.9768271e-02   1.8014874e-02   1.4197523e-02   1.4197523e-02
   0.58100   3.4349999e-01   2.9085213e-01   1.7656669e-01   3.0939939e-02   3.0939939e-02   1.8782612e-02   1.4826993e-02   1.4826993e-02
   0.58200   3.4909999e-01   2.9591027e-01   1.8021488e-01   3.2118082e-02   3.2118082e-02   1.9560512e-02   1.5466497e-02   1.5466497e-02
   0.58300   3.5450000e-01   3.0079937e-01   1.8376337e-01   3.3298753e-02   3.3298753e-02   2.0342765e-02   1.6111471e-02   1.6111471e-02
   0.58400   3.5960001e-01   3.0544266e-01   1.8718016e-01   3.4467660e-02   3.4467660e-02   2.1122335e-02   1.6756348e-02   1.6756348e-02
   0.58500   3.6460000e-01   3.1002352e-01   1.9060248e-01   3.5652611e-02   3.5652611e-02   2.1919228e-02   1.7417019e-02   1.7417019e-02
   0.58600   3.6950001e-01   3.1450805e-01   1.9394729e-01   3.6842760e-02   3.6842760e-02   2.2719778e-02   1.8082671e-02   1.8082671e-02
   0.58700   3.7430000e-01   3.1893525e-01   1.9731067e-01   3.8071662e-02   3.8071662e-02   2.3553198e-02   1.8776610e-02   1.8776610e-02
   0.58800   3.7889999e-01   3.2318532e-01   2.0055462e-01   3.9289299e-02   3.9289299e-02   2.4381215e-02   1.9468401e-02   1.9468401e-02
   0.58900   3.8360000e-01   3.2754302e-01   2.0390956e-01   4.0517051e-02   4.0517051e-02   2.5223600e-02   2.0171313e-02   2.0171313e-02
   0.59000   3.8820001e-01   3.3181745e-01   2.0721932e-01   4.1751727e-02   4.1751727e-02   2.6073867e-02   2.0885168e-02   2.0885168e-02
   0.59100   3.9289999e-01   3.3617556e-01   2.1058068e-01   4.3058656e-02   4.3058656e-02   2.6971981e-02   2.1639619e-02   2.1639619e-02
   0.59200   3.9760000e-01   3.4055674e-01   2.1400249e-01   4.4398233e-02   4.4398233e-02   2.7899412e-02   2.2417178e-02   2.2417178e-02
   0.59300   4.0239999e-01   3.4503132e-01   2.1750049e-01   4.5738254e-02   4.5738254e-02   2.8832434e-02   2.3204342e-02   2.3204342e-02
   0.59400   4.0740001e-01   3.4968570e-01   2.2113037e-01   4.7117338e-02   4.7117338e-02   2.9795540e-02   2.4015205e-02   2.4015205e-02
   0.59500   4.1299999e-01   3.5486388e-01   2.2511119e-01   4.8610307e-02   4.8610307e-02   3.0836398e-02   2.4894223e-02   2.4894223e-02
   0.59600   4.1434699e-01   3.5638744e-01   2.2677591e-01   4.9617805e-02   4.9617805e-02   3.1572726e-02   2.5526548e-02   2.5526548e-02
   0.59700   4.1569400e-01   3.5791856e-01   2.2846285e-01   5.0629135e-02   5.0629135e-02   3.2317065e-02   2.6167128e-02   2.6167128e-02
   0.59800   4.1703999e-01   3.5945079e-01   2.3015726e-01   5.1639419e-02   5.1639419e-02   3.3064850e-02   2.6815593e-02   2.6815593e-02
   0.59900   4.1838700e-01   3.6100137e-01   2.3190004e-01   5.2659281e-02   5.2659281e-02   3.3827264e-02   2.7474504e-02   2.7474504e-02
   0.60000   4.1973400e-01   3.6253792e-01   2.3360994e-01   5.3676389e-02   5.3676389e-02   3.4587659e-02   2.8133601e-02   2.8133601e-02
   0.60100   4.2468801e-01   3.6719486e-01   2.3734300e-01   5.5185590e-02   5.5185590e-02   3.5670199e-02   2.9056944e-02   2.9056944e-02
   0.60200   4.2964199e-01   3.7185371e-01   2.4108399e-01   5.6721952e-02   5.6721952e-02   3.6774553e-02   3.0000681e-02   3.0000681e-02
   0.60300   4.3459600e-01   3.7654319e-01   2.4490748e-01   5.8306757e-02   5.8306757e-02   3.7923303e-02   3.0983336e-02   3.0983336e-02
   0.60400   4.3955001e-01   3.8122466e-01   2.4871331e-01   5.9903756e-02   5.9903756e-02   3.9081577e-02   3.1976547e-02   3.1976547e-02
   0.60500   4.4450399e-01   3.8591409e-01   2.5254309e-01   6.1505962e-02   6.1505962e-02   4.0249649e-02   3.2980565e-02   3.2980565e-02
   0.60600   4.4945800e-01   3.9062867e-01   2.5644195e-01   6.3139006e-02   6.3139006e-02   4.1449822e-02   3.4013722e-02   3.4013722e-02
   0.60700   4.5441100e-01   3.9533356e-01   2.6032043e-01   6.4799830e-02   6.4799830e-02   4.2669583e-02   3.5065863e-02   3.5065863e-02
   0.60800   4.5936501e-01   4.0005779e-01   2.6425138e-01   6.6486135e-02   6.6486135e-02   4.3916289e-02   3.6138713e-02   3.6138713e-02
   0.60900   4.6431899e-01   4.0477976e-01   2.6817968e-01   6.8166167e-02   6.8166167e-02   4.5162290e-02   3.7218243e-02   3.7218243e-02
   0.61000   4.6927300e-01   4.0952709e-01   2.7217856e-01   6.9873750e-02   6.9873750e-02   4.6439260e-02   3.8321678e-02   3.8321678e-02
   0.61100   4.7360900e-01   4.1372523e-01   2.7579612e-01   7.1499109e-02   7.1499109e-02   4.7662493e-02   3.9388284e-02   3.9388284e-02
   0.61200   4.7794399e-01   4.1794020e-01   2.7946386e-01   7.3129952e-02   7.3129952e-02   4.8899766e-02   4.0464554e-02   4.0464554e-02
   0.61300   4.8227900e-01   4.2215130e-01   2.8312457e-01   7.4778661e-02   7.4778661e-02   5.0151866e-02   4.1560851e-02   4.1560851e-02
   0.61400   4.8661399e-01   4.2638725e-01   2.8685543e-01   7.6471552e-02   7.6471552e-02   5.1446848e-02   4.2690594e-02   4.2690594e-02
