#GR700XD order  1:                1.30000  7.586031e-05  1.991891e+04  2.680489e-15  1.511054e-03
#                              Wavelength    Response
                                  0.92066  1.221173e+00
                                  0.92197  1.215508e+00
                                  0.92329  1.210151e+00
                                  0.92460  1.204188e+00
                                  0.92591  1.197805e+00
                                  0.92723  1.192022e+00
                                  0.92854  1.186418e+00
                                  0.92986  1.180929e+00
                                  0.93117  1.175651e+00
                                  0.93249  1.170036e+00
                                  0.93380  1.164138e+00
                                  0.93511  1.158785e+00
                                  0.93643  1.153811e+00
                                  0.93774  1.148913e+00
                                  0.93906  1.144087e+00
                                  0.94037  1.138917e+00
                                  0.94169  1.133351e+00
                                  0.94300  1.128435e+00
                                  0.94431  1.123605e+00
                                  0.94563  1.118358e+00
                                  0.94694  1.113513e+00
                                  0.94826  1.109123e+00
                                  0.94957  1.104829e+00
                                  0.95089  1.100549e+00
                                  0.95220  1.096338e+00
                                  0.95351  1.092208e+00
                                  0.95483  1.087523e+00
                                  0.95614  1.082685e+00
                                  0.95746  1.078576e+00
                                  0.95877  1.074756e+00
                                  0.96009  1.070847e+00
                                  0.96140  1.066975e+00
                                  0.96271  1.062706e+00
                                  0.96403  1.058214e+00
                                  0.96534  1.054369e+00
                                  0.96666  1.050611e+00
                                  0.96797  1.046978e+00
                                  0.96929  1.043323e+00
                                  0.97060  1.039747e+00
                                  0.97191  1.036256e+00
                                  0.97323  1.032785e+00
                                  0.97454  1.029319e+00
                                  0.97586  1.025821e+00
                                  0.97717  1.021863e+00
                                  0.97849  1.018054e+00
                                  0.97980  1.014810e+00
                                  0.98111  1.011640e+00
                                  0.98243  1.008536e+00
                                  0.98374  1.005523e+00
                                  0.98506  1.002523e+00
                                  0.98637  9.995784e-01
                                  0.98769  9.966414e-01
                                  0.98900  9.932296e-01
                                  0.99031  9.898772e-01
                                  0.99163  9.870828e-01
                                  0.99294  9.844319e-01
                                  0.99426  9.817516e-01
                                  0.99557  9.791404e-01
                                  0.99689  9.765510e-01
                                  0.99820  9.740239e-01
                                  0.99951  9.715074e-01
                                  1.00083  9.684634e-01
                                  1.00214  9.653435e-01
                                  1.00346  9.627501e-01
                                  1.00477  9.603425e-01
                                  1.00609  9.577883e-01
                                  1.00740  9.554295e-01
                                  1.00871  9.530170e-01
                                  1.01003  9.506862e-01
                                  1.01134  9.484622e-01
                                  1.01266  9.457794e-01
                                  1.01397  9.429701e-01
                                  1.01529  9.406076e-01
                                  1.01660  9.384407e-01
                                  1.01791  9.363445e-01
                                  1.01923  9.341869e-01
                                  1.02054  9.321100e-01
                                  1.02186  9.300670e-01
                                  1.02317  9.280174e-01
                                  1.02449  9.260082e-01
                                  1.02580  9.239694e-01
                                  1.02711  9.220119e-01
                                  1.02843  9.201497e-01
                                  1.02974  9.182374e-01
                                  1.03106  9.159099e-01
                                  1.03237  9.137985e-01
                                  1.03369  9.120769e-01
                                  1.03500  9.103725e-01
                                  1.03631  9.086899e-01
                                  1.03763  9.071082e-01
                                  1.03894  9.054825e-01
                                  1.04026  9.038929e-01
                                  1.04157  9.024538e-01
                                  1.04289  9.009665e-01
                                  1.04420  8.995298e-01
                                  1.04551  8.980660e-01
                                  1.04683  8.962862e-01
                                  1.04814  8.944184e-01
                                  1.04946  8.930359e-01
                                  1.05077  8.916314e-01
                                  1.05209  8.901859e-01
                                  1.05340  8.888316e-01
                                  1.05471  8.874997e-01
                                  1.05603  8.860748e-01
                                  1.05734  8.847481e-01
                                  1.05866  8.834932e-01
                                  1.05997  8.822308e-01
                                  1.06129  8.804125e-01
                                  1.06260  8.787909e-01
                                  1.06391  8.776247e-01
                                  1.06523  8.765234e-01
                                  1.06654  8.753851e-01
                                  1.06786  8.741892e-01
                                  1.06917  8.726014e-01
                                  1.07049  8.714494e-01
                                  1.07180  8.708753e-01
                                  1.07311  8.699607e-01
                                  1.07443  8.688462e-01
                                  1.07574  8.677780e-01
                                  1.07706  8.667730e-01
                                  1.07837  8.655772e-01
                                  1.07969  8.640795e-01
                                  1.08100  8.629301e-01
                                  1.08231  8.621011e-01
                                  1.08363  8.611891e-01
                                  1.08494  8.598357e-01
                                  1.08626  8.585007e-01
                                  1.08757  8.576467e-01
                                  1.08889  8.569324e-01
                                  1.09020  8.560597e-01
                                  1.09151  8.548762e-01
                                  1.09283  8.539334e-01
                                  1.09414  8.532637e-01
                                  1.09546  8.526743e-01
                                  1.09677  8.525278e-01
                                  1.09809  8.524196e-01
                                  1.09940  8.514948e-01
                                  1.10071  8.505944e-01
                                  1.10203  8.499434e-01
                                  1.10334  8.489228e-01
                                  1.10466  8.480729e-01
                                  1.10597  8.476481e-01
                                  1.10729  8.472036e-01
                                  1.10860  8.467787e-01
                                  1.10991  8.463783e-01
                                  1.11123  8.460720e-01
                                  1.11254  8.458428e-01
                                  1.11386  8.455136e-01
                                  1.11517  8.448052e-01
                                  1.11649  8.442365e-01
                                  1.11780  8.440016e-01
                                  1.11911  8.439075e-01
                                  1.12043  8.437911e-01
                                  1.12174  8.436249e-01
                                  1.12306  8.431457e-01
                                  1.12437  8.426966e-01
                                  1.12569  8.426403e-01
                                  1.12700  8.426993e-01
                                  1.12831  8.427310e-01
                                  1.12963  8.427779e-01
                                  1.13094  8.429091e-01
                                  1.13226  8.428531e-01
                                  1.13357  8.425341e-01
                                  1.13489  8.423950e-01
                                  1.13620  8.426239e-01
                                  1.13751  8.428881e-01
                                  1.13883  8.431934e-01
                                  1.14014  8.433151e-01
                                  1.14146  8.431923e-01
                                  1.14277  8.433459e-01
                                  1.14409  8.437922e-01
                                  1.14540  8.436289e-01
                                  1.14671  8.438431e-01
                                  1.14803  8.442049e-01
                                  1.14934  8.442721e-01
                                  1.15066  8.448173e-01
                                  1.15197  8.458919e-01
                                  1.15329  8.466818e-01
                                  1.15460  8.469009e-01
                                  1.15591  8.470509e-01
                                  1.15723  8.475563e-01
                                  1.15854  8.482060e-01
                                  1.15986  8.489278e-01
                                  1.16117  8.496538e-01
                                  1.16249  8.500752e-01
                                  1.16380  8.502964e-01
                                  1.16511  8.509547e-01
                                  1.16643  8.514896e-01
                                  1.16774  8.517671e-01
                                  1.16906  8.524293e-01
                                  1.17037  8.530795e-01
                                  1.17169  8.533844e-01
                                  1.17300  8.540632e-01
                                  1.17431  8.550755e-01
                                  1.17563  8.560611e-01
                                  1.17694  8.570072e-01
                                  1.17826  8.580040e-01
                                  1.17957  8.590175e-01
                                  1.18089  8.599735e-01
                                  1.18220  8.610076e-01
                                  1.18351  8.620530e-01
                                  1.18483  8.627689e-01
                                  1.18614  8.631003e-01
                                  1.18746  8.635964e-01
                                  1.18877  8.644279e-01
                                  1.19009  8.655033e-01
                                  1.19140  8.665782e-01
                                  1.19271  8.680276e-01
                                  1.19403  8.694750e-01
                                  1.19534  8.702197e-01
                                  1.19666  8.710108e-01
                                  1.19797  8.721732e-01
                                  1.19929  8.727605e-01
                                  1.20060  8.736362e-01
                                  1.20191  8.747853e-01
                                  1.20323  8.756418e-01
                                  1.20454  8.766096e-01
                                  1.20586  8.777842e-01
                                  1.20717  8.786599e-01
                                  1.20849  8.796465e-01
                                  1.20980  8.810143e-01
                                  1.21111  8.823817e-01
                                  1.21243  8.837481e-01
                                  1.21374  8.851942e-01
                                  1.21506  8.866528e-01
                                  1.21637  8.878813e-01
                                  1.21769  8.887528e-01
                                  1.21900  8.895344e-01
                                  1.22031  8.908609e-01
                                  1.22163  8.927583e-01
                                  1.22294  8.941301e-01
                                  1.22426  8.951456e-01
                                  1.22557  8.965772e-01
                                  1.22689  8.981630e-01
                                  1.22820  8.997567e-01
                                  1.22951  9.013197e-01
                                  1.23083  9.029098e-01
                                  1.23214  9.044374e-01
                                  1.23346  9.054024e-01
                                  1.23477  9.066340e-01
                                  1.23609  9.083075e-01
                                  1.23740  9.099199e-01
                                  1.23871  9.115312e-01
                                  1.24003  9.132644e-01
                                  1.24134  9.149416e-01
                                  1.24266  9.163072e-01
                                  1.24397  9.175420e-01
                                  1.24529  9.191527e-01
                                  1.24660  9.210967e-01
                                  1.24791  9.226081e-01
                                  1.24923  9.233782e-01
                                  1.25054  9.244492e-01
                                  1.25186  9.263274e-01
                                  1.25317  9.282353e-01
                                  1.25449  9.300970e-01
                                  1.25580  9.320258e-01
                                  1.25711  9.338563e-01
                                  1.25843  9.360910e-01
                                  1.25974  9.385454e-01
                                  1.26106  9.403100e-01
                                  1.26237  9.418523e-01
                                  1.26369  9.438896e-01
                                  1.26500  9.456215e-01
                                  1.26631  9.473074e-01
                                  1.26763  9.493927e-01
                                  1.26894  9.515816e-01
                                  1.27026  9.537533e-01
                                  1.27157  9.558106e-01
                                  1.27289  9.575190e-01
                                  1.27420  9.592694e-01
                                  1.27551  9.613008e-01
                                  1.27683  9.630856e-01
                                  1.27814  9.647685e-01
                                  1.27946  9.668909e-01
                                  1.28077  9.695591e-01
                                  1.28209  9.720739e-01
