#GR700XD order  3:                1.30000  7.586031e-05  1.991891e+04  2.680489e-15  1.511054e-03
#                              Wavelength    Response
                                  0.63515  2.581367e+05
                                  0.63545  1.978053e+05
                                  0.63576  1.989655e+05
                                  0.63606  2.001025e+05
                                  0.63636  2.012006e+05
                                  0.63666  2.023082e+05
                                  0.63697  2.034207e+05
                                  0.63727  2.045455e+05
                                  0.63757  2.056679e+05
                                  0.63787  2.068040e+05
                                  0.63818  2.079819e+05
                                  0.63848  2.091717e+05
                                  0.63878  2.104305e+05
                                  0.63908  2.117077e+05
                                  0.63938  2.131270e+05
                                  0.63969  2.145921e+05
                                  0.63999  2.160770e+05
                                  0.64029  2.175832e+05
                                  0.64059  2.191139e+05
                                  0.64090  2.206696e+05
                                  0.64120  2.222360e+05
                                  0.64150  2.238116e+05
                                  0.64180  2.254083e+05
                                  0.64211  2.270232e+05
                                  0.64241  2.286614e+05
                                  0.64271  2.303208e+05
                                  0.64301  2.320022e+05
                                  0.64332  2.336806e+05
                                  0.64362  2.353856e+05
                                  0.64392  2.370882e+05
                                  0.64422  2.388158e+05
                                  0.64453  2.405290e+05
                                  0.64483  2.422605e+05
                                  0.64513  2.439859e+05
                                  0.64543  2.457257e+05
                                  0.64573  2.475036e+05
                                  0.64604  2.493151e+05
                                  0.64634  2.511686e+05
                                  0.64664  2.530699e+05
                                  0.64694  2.549890e+05
                                  0.64725  2.569126e+05
                                  0.64755  2.588655e+05
                                  0.64785  2.608419e+05
                                  0.64815  2.628520e+05
                                  0.64846  2.648637e+05
                                  0.64876  2.669103e+05
                                  0.64906  2.690101e+05
                                  0.64936  2.711523e+05
                                  0.64967  2.733326e+05
                                  0.64997  2.755525e+05
                                  0.65027  2.777628e+05
                                  0.65057  2.799667e+05
                                  0.65088  2.821923e+05
                                  0.65118  2.844285e+05
                                  0.65148  2.867043e+05
                                  0.65178  2.890022e+05
                                  0.65208  2.913537e+05
                                  0.65239  2.937624e+05
                                  0.65269  2.962346e+05
                                  0.65299  2.986268e+05
                                  0.65329  3.010763e+05
                                  0.65360  3.034751e+05
                                  0.65390  3.059242e+05
                                  0.65420  3.083376e+05
                                  0.65450  3.107775e+05
                                  0.65481  3.132572e+05
                                  0.65511  3.157644e+05
                                  0.65541  3.184276e+05
                                  0.65571  3.209657e+05
                                  0.65602  3.238824e+05
                                  0.65632  3.263538e+05
                                  0.65662  3.289622e+05
                                  0.65692  3.317895e+05
                                  0.65723  3.343729e+05
                                  0.65753  3.371891e+05
                                  0.65783  3.399508e+05
                                  0.65813  3.426931e+05
                                  0.65843  3.454917e+05
                                  0.65874  3.482298e+05
                                  0.65904  3.510140e+05
                                  0.65934  3.537537e+05
                                  0.65964  3.564718e+05
                                  0.65995  3.591830e+05
                                  0.66025  3.622921e+05
                                  0.66055  3.654379e+05
                                  0.66085  3.688261e+05
                                  0.66116  3.723193e+05
                                  0.66146  3.760404e+05
                                  0.66176  3.799525e+05
                                  0.66206  3.838840e+05
                                  0.66237  3.878123e+05
                                  0.66267  3.918212e+05
                                  0.66297  3.959395e+05
                                  0.66327  4.001392e+05
                                  0.66358  4.044800e+05
                                  0.66388  4.089127e+05
                                  0.66418  4.131362e+05
                                  0.66448  4.173697e+05
                                  0.66478  4.216854e+05
                                  0.66509  4.260882e+05
                                  0.66539  4.305983e+05
                                  0.66569  4.352286e+05
                                  0.66599  4.398718e+05
                                  0.66630  4.442333e+05
                                  0.66660  4.486835e+05
                                  0.66690  4.532139e+05
                                  0.66720  4.578378e+05
                                  0.66751  4.625959e+05
                                  0.66781  4.674680e+05
                                  0.66811  4.723084e+05
                                  0.66841  4.771417e+05
                                  0.66872  4.820292e+05
                                  0.66902  4.869291e+05
                                  0.66932  4.919085e+05
                                  0.66962  4.968391e+05
                                  0.66993  5.018710e+05
                                  0.67023  5.067410e+05
                                  0.67053  5.116835e+05
