#  GR700XD order 3 plus CLEAR
#Wavelength      OTE             POM             TMA          Pupil Wheel     Filter Wheel      CTMA          Detector         Final
   0.50000   3.1000001e-03   2.4409969e-03   1.1917464e-03   1.1030185e-05   1.1030185e-05   5.3851704e-06   3.6716092e-06   3.6716092e-06
   0.50100   3.5000001e-03   2.7576080e-03   1.3487331e-03   1.3100177e-05   1.3100177e-05   6.4072351e-06   4.3767823e-06   4.3767823e-06
   0.50200   4.0000002e-03   3.1534859e-03   1.5451959e-03   1.5715292e-05   1.5715292e-05   7.7004324e-06   5.2709456e-06   5.2709456e-06
   0.50300   4.4999998e-03   3.5500496e-03   1.7430112e-03   1.8559200e-05   1.8559200e-05   9.1122365e-06   6.2491717e-06   6.2491717e-06
   0.50400   4.9999999e-03   3.9472110e-03   1.9420098e-03   2.1721009e-05   2.1721009e-05   1.0686637e-05   7.3427886e-06   7.3427886e-06
   0.50500   5.7000001e-03   4.5028254e-03   2.2198104e-03   2.6196869e-05   2.6196869e-05   1.2914576e-05   8.8916859e-06   8.8916859e-06
   0.50600   6.3999998e-03   5.0591752e-03   2.4990735e-03   3.1099746e-05   3.1099746e-05   1.5362297e-05   1.0596913e-05   1.0596913e-05
   0.50700   7.1999999e-03   5.6953589e-03   2.8189467e-03   3.6743786e-05   3.6743786e-05   1.8186523e-05   1.2568707e-05   1.2568707e-05
   0.50800   8.1000002e-03   6.4116530e-03   3.1799844e-03   4.3326174e-05   4.3326174e-05   2.1488460e-05   1.4880758e-05   1.4880758e-05
   0.50900   9.2000002e-03   7.2876173e-03   3.6222530e-03   5.1585372e-05   5.1585372e-05   2.5640104e-05   1.7789103e-05   1.7789103e-05
   0.51000   1.0300000e-02   8.1649767e-03   4.0673185e-03   6.0512426e-05   6.0512426e-05   3.0143787e-05   2.0952946e-05   2.0952946e-05
   0.51100   1.1700000e-02   9.2810709e-03   4.6327077e-03   7.1811322e-05   7.1811322e-05   3.5845092e-05   2.4966106e-05   2.4966106e-05
   0.51200   1.3200000e-02   1.0478452e-02   5.2416343e-03   8.4829713e-05   8.4829713e-05   4.2434353e-05   2.9610690e-05   2.9610690e-05
   0.51300   1.4900000e-02   1.1837284e-02   5.9353933e-03   1.0077959e-04   1.0077959e-04   5.0532413e-05   3.5327212e-05   3.5327212e-05
   0.51400   1.6799999e-02   1.3356499e-02   6.7118583e-03   1.1952598e-04   1.1952598e-04   6.0063750e-05   4.2068652e-05   4.2068652e-05
   0.51500   1.8900000e-02   1.5037030e-02   7.5729107e-03   1.4048308e-04   1.4048308e-04   7.0749731e-05   4.9652161e-05   4.9652161e-05
   0.51600   2.1299999e-02   1.6959792e-02   8.5613690e-03   1.6540410e-04   1.6540410e-04   8.3496634e-05   5.8706486e-05   5.8706486e-05
   0.51700   2.3900000e-02   1.9044893e-02   9.6365223e-03   1.9473715e-04   1.9473715e-04   9.8535020e-05   6.9408066e-05   6.9408066e-05
   0.51800   2.6900001e-02   2.1452220e-02   1.0880082e-02   2.2974978e-04   2.2974978e-04   1.1652390e-04   8.2242572e-05   8.2242572e-05
   0.51900   3.0300001e-02   2.4182489e-02   1.2293518e-02   2.6986643e-04   2.6986643e-04   1.3719049e-04   9.7007396e-05   9.7007396e-05
   0.52000   3.4000002e-02   2.7157066e-02   1.3838680e-02   3.1525455e-04   3.1525455e-04   1.6064721e-04   1.1380248e-04   1.1380248e-04
   0.52100   3.7999999e-02   3.0375583e-02   1.5514856e-02   3.6639979e-04   3.6639979e-04   1.8714505e-04   1.3281684e-04   1.3281684e-04
   0.52200   4.1999999e-02   3.3600889e-02   1.7205020e-02   4.2057343e-04   4.2057343e-04   2.1535068e-04   1.5313586e-04   1.5313586e-04
   0.52300   4.5600001e-02   3.6511820e-02   1.8743010e-02   4.7283273e-04   4.7283273e-04   2.4272437e-04   1.7291684e-04   1.7291684e-04
   0.52400   4.8900001e-02   3.9184324e-02   2.0161504e-02   5.2372209e-04   5.2372209e-04   2.6947065e-04   1.9232120e-04   1.9232120e-04
   0.52500   5.2000001e-02   4.1703500e-02   2.1511963e-02   5.7434809e-04   5.7434809e-04   2.9626660e-04   2.1183061e-04   2.1183061e-04
   0.52600   5.4800000e-02   4.3986052e-02   2.2746693e-02   6.2284764e-04   6.2284764e-04   3.2209585e-04   2.3074947e-04   2.3074947e-04
   0.52700   5.7399999e-02   4.6113316e-02   2.3909464e-02   6.6911185e-04   6.6911185e-04   3.4693029e-04   2.4899188e-04   2.4899188e-04
   0.52800   5.9999999e-02   4.8242405e-02   2.5076216e-02   7.1606162e-04   7.1606162e-04   3.7220606e-04   2.6761615e-04   2.6761615e-04
   0.52900   6.2500000e-02   5.0294466e-02   2.6208412e-02   7.6385675e-04   7.6385675e-04   3.9804523e-04   2.8671199e-04   2.8671199e-04
